CellID,X_centroid,Y_centroid,phenotype_key,color
51135,3408.082474226804,4004.407216494845,regulatory T cells,#0072B2
51217,3633.0376569037658,4177.242677824268,M2 macrophages,#66A61E
51323,3388.8634146341465,4007.424390243904,regulatory T cells,#0072B2
51371,3539.3446327683614,3674.090395480226,regulatory T cells,#0072B2
51436,3852.3874538745386,4165.09594095941,CD4+ T cells,#0072B2
51657,3233.47191011236,3951.752808988764,regulatory T cells,#0072B2
51952,3784.755760368664,4363.612903225807,regulatory T cells,#0072B2
52041,3184.0038167938933,4336.7900763358775,M2 macrophages,#66A61E
52060,3433.9514170040484,4121.793522267207,regulatory T cells,#0072B2
52147,3421.71102661597,3929.722433460076,regulatory T cells,#0072B2
52197,3559.0,4060.603092783505,regulatory T cells,#0072B2
52210,3267.958015267176,3915.790076335878,regulatory T cells,#0072B2
52310,3260.525974025974,3767.935064935065,regulatory T cells,#0072B2
52347,3675.0582959641256,3735.8206278026905,endothelial cells,#666666
52377,3616.778894472362,4356.170854271357,CD4+ T cells,#0072B2
52507,3611.828025477707,4307.859872611465,CD4+ T cells,#0072B2
52622,3179.9407407407407,4244.759259259259,regulatory T cells,#0072B2
52631,3265.990033222591,4359.740863787375,CD4+ T cells,#0072B2
53002,3786.7062146892654,4142.935028248588,regulatory T cells,#0072B2
53045,3667.478723404255,4017.36170212766,M2 macrophages,#66A61E
53106,3668.735849056604,4418.622641509434,CD4+ T cells,#0072B2
53218,3810.793103448276,4153.379310344828,regulatory T cells,#0072B2
53288,3258.1023102310232,4291.168316831683,M2 macrophages,#66A61E
53325,3882.562790697674,4193.988372093023,regulatory T cells,#0072B2
53464,3749.012793176972,4071.443496801706,regulatory T cells,#0072B2
53548,3153.807197943445,3961.771208226221,regulatory T cells,#0072B2
53709,3332.822222222222,3745.716666666666,regulatory T cells,#0072B2
53736,3525.0974576271187,4418.025423728814,regulatory T cells,#0072B2
53866,3305.13714804723,4027.1525885558585,regulatory T cells,#0072B2
54103,3225.2916666666665,3942.7638888888887,regulatory T cells,#0072B2
54120,3854.615740740741,3884.824074074074,M2 macrophages,#66A61E
54124,3536.394557823129,4165.976190476191,dendritic cells,#66A61E
54164,3503.801775147929,3883.754437869823,CD4+ T cells,#0072B2
54173,3354.584905660377,3935.839622641509,regulatory T cells,#0072B2
54306,3113.6435643564355,4006.089108910891,B cells,#0072B2
54457,3219.4857142857145,3968.9,regulatory T cells,#0072B2
54476,3168.1948529411766,4210.636029411765,regulatory T cells,#0072B2
54496,3331.4054054054054,4324.898648648648,dendritic cells,#66A61E
54505,3431.3502304147464,4046.073732718894,B cells,#0072B2
54587,3460.903381642512,3685.086956521739,dendritic cells,#66A61E
54738,3135.156862745098,4137.643137254902,M2 macrophages,#66A61E
54825,3505.637037037037,3704.248148148148,regulatory T cells,#0072B2
54917,3697.979591836736,4004.119897959184,endothelial cells,#666666
54930,3418.3928571428573,4061.015306122449,B cells,#0072B2
54980,3533.977900552486,3822.07182320442,endothelial cells,#666666
55030,3239.1662087912086,3847.061813186813,regulatory T cells,#0072B2
55050,3322.729357798165,4230.3302752293575,regulatory T cells,#0072B2
55158,3145.540389972145,3978.3064066852367,regulatory T cells,#0072B2
55165,3300.2892857142856,3781.9607142857135,regulatory T cells,#0072B2
55174,3685.619047619048,3956.1285714285714,CD4+ T cells,#0072B2
55177,3699.8407079646017,3928.9867256637167,M2 macrophages,#66A61E
55178,3810.6059701492536,4075.1910447761193,regulatory T cells,#0072B2
55191,3711.14693877551,4366.289795918367,regulatory T cells,#0072B2
55303,3190.941964285714,3929.330357142857,regulatory T cells,#0072B2
55313,3510.903846153846,4213.048076923077,regulatory T cells,#0072B2
55412,3666.760101010101,4038.247474747475,regulatory T cells,#0072B2
55442,3254.889380530973,4253.765486725663,M2 macrophages,#66A61E
55542,3770.82119205298,3926.294701986755,endothelial cells,#666666
55740,3318.9551282051284,4258.134615384615,regulatory T cells,#0072B2
55743,3470.4084507042253,4468.380281690141,M2 macrophages,#66A61E
55771,3356.6222222222223,4370.257777777778,CD4+ T cells,#0072B2
55776,3755.434599156118,3787.3924050632913,regulatory T cells,#0072B2
55938,3320.242537313433,3782.873134328358,regulatory T cells,#0072B2
56079,3887.032608695652,3910.163043478261,M2 macrophages,#66A61E
56080,3424.1020408163267,4383.122448979592,regulatory T cells,#0072B2
56166,3750.703296703297,4271.43956043956,regulatory T cells,#0072B2
