,topology_carcinoma_10_clean.csv,topology_dysplasia_18_clean.csv,topology_ad_carcinoma_2_clean.csv,topology_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_dysplasia_5_clean.csv,topology_ad_carcinoma_3_clean.csv,topology_dysplasia_14_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_carcinoma_8_clean.csv,topology_dysplasia_10_clean.csv,topology_carcinoma_20_clean.csv,topology_dysplasia_11_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_carcinoma_13_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_carcinoma_9_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_carcinoma_4_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_dysplasia_8_clean.csv,topology_dysplasia_7_clean.csv,topology_carcinoma_17_clean.csv,topology_dysplasia_19_clean.csv,topology_carcinoma_5_clean.csv,topology_dysplasia_8_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_dysplasia_12_clean.csv,topology_ad_dysplasia_1_clean.csv,topology_dysplasia_1_clean.csv,topology_ad_dysplasia_3_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_ad_dysplasia_2_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv,topology_ad_dysplasia_6_clean.csv,topology_ad_dysplasia_9_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_ad_dysplasia_4_clean.csv,topology_dysplasia_6_clean.csv,topology_ad_dysplasia_10_clean.csv,topology_ad_dysplasia_5_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_ad_carcinoma_11_clean.csv,3004.9579588130023,1702.4046929341512,1925.9908380092502,3720.023504046414,2710.7112437746005,2185.0704792103897,3121.7663515752874,2390.38400809123,1841.8956245901743,2796.200273705766,2605.806558583277,3065.4136776758646,3107.815285531656,2757.5687036879413,3234.11471630969,2931.4366153934543,3062.5090911156717,3040.124542499364,2951.0806999620213,3351.4885122349724,1449.469152757369,3042.2103504428837,1566.7713892731972,2827.21194809727,2663.643288756707,3444.9100148712664,3044.1292142122024,2431.0724669207048,3478.1267083432813,3468.30791509798,3599.428262786957,3366.07461787248,0.0,3225.3604366740224,2977.1147165875564,3574.778609736181,2338.9526603661134,1732.9847258212126,3491.2842073320558,1385.5364925637218,2538.9411779301663,2047.7579787055683,1921.914101710365,3598.8160975286405,1523.918231861563,3454.254226535776,2575.2722005953956,1501.2518479594705,2499.653970536465,3194.8341866621518,3964.940202582688,1893.105217924827,3758.6516655325786,1655.1457114904672,2380.05845041284,2083.4532723329794,3087.757995264547,3364.073121442414,3572.557495678676
topology_carcinoma_18_clean.csv,1074.577158561255,3279.184828637216,4075.0619061875027,2450.704828035499,4363.672700169857,3883.875602479306,1843.0112745891593,4424.425576124356,3103.751698283063,4771.481582979225,2379.339152996026,3810.159545644191,2384.9208879396683,2700.269831534337,3434.9509548322817,2098.4347523827437,5193.300701907054,2235.579379775412,4992.96365762012,1796.8539265499876,3542.423381879286,1733.027365639436,3545.1256431044208,4788.990317378163,4558.434150561216,3701.3401774556282,2900.870875965571,2122.288107317297,2315.9064208918794,3563.028194995141,2454.023448535882,1071.5124102105046,3225.3604366740224,0.0,2016.4380510906344,1392.0881446495584,1747.407817887205,3102.3739391464433,2255.516161299976,3383.5835512178464,4845.740470550277,3900.3310345541026,3166.310454192722,2233.553319310312,3536.2883533075906,5605.248576696944,4762.962335697876,3683.98696765839,4452.372880517736,2351.8049006622005,3614.333069616886,4082.537853220349,4040.3580249251163,3176.425697835845,4652.284367594038,3162.000557386568,2940.4105924739056,2562.3471724725223,2664.9231163328236
topology_carcinoma_11_clean.csv,1560.6314047021413,2770.1050775328154,3198.791630352937,1351.6201883775261,3240.687463069731,2816.1218483802386,937.907331159839,3356.633068290555,2458.612426600044,3719.5331828362214,1185.6265227553708,2292.832603385477,1008.6423850986694,1458.9119936061852,1865.316581573593,881.3713847567667,4167.141099180093,1050.355080488759,3948.1760021878385,1082.208371526463,2835.5694097335463,908.7462759570471,2813.297747782241,3728.061901634474,4401.0480071922275,2090.7169878789805,1493.1595293395076,1528.585672450115,1085.0483747443088,2038.5047574145153,1128.4755091360478,2208.119158655916,2977.1147165875564,2016.4380510906344,0.0,1497.0670481377135,1459.8204638292466,2267.9656107322694,1126.0288175634846,3139.4289201904658,4097.044620253207,3469.2280193512765,2334.8305548369526,1163.5521242251612,2737.945319608197,4561.886236816761,3866.004525502807,3476.4469763736433,4230.802689789456,1085.1409564112384,2115.0417060013488,3586.906070699971,2479.1034652503918,2296.5109630103334,3865.014565443248,2065.7370716618434,1429.6074231808134,1217.5138663359576,1262.4100524826317
topology_carcinoma_16_clean.csv,1195.3114521519456,3590.907735903128,4162.060612680571,1659.7341796781554,4290.492531089437,3805.0274979368246,1320.2091429058034,4351.139286830355,3260.946587648171,4775.548703154921,2063.069162757788,3237.59742426428,1845.12133898909,2010.7762513998832,2718.818206081468,1586.3323552057618,5231.169538487431,1715.3704500567897,5032.629117075197,1144.1692174248171,3801.911705826814,1368.791034214526,3748.914473265725,4789.865484429658,5197.1559782521845,3018.6421891392515,2324.164166588462,2330.8435711615366,1597.846664316429,2909.4200259891822,1663.8146915244565,1472.7532532951393,3574.778609736181,1392.0881446495584,1497.0670481377135,0.0,1874.3372802377783,3027.2099692303786,1498.4954168952966,3903.233020599483,5130.326381749869,4274.80553948958,3139.3537927983207,1409.4037247082858,3705.1682069855724,5642.985039215951,4898.759585697768,4170.147463696688,5081.451863226244,1723.297294649374,2895.2398423099853,4537.189562490835,3350.340752862555,3016.0601004276305,4893.440314813629,3119.039342830395,2428.9437634439482,1859.937442653323,1862.4967639227848
topology_dysplasia_12_clean.csv,1420.3581974195818,2465.8184478972253,2836.6665218456583,2191.2493905151,3125.1896169902793,2635.1094317701927,1418.6668994182314,3055.687645050004,2175.393870788769,3529.2539018773577,1394.0578572594845,2836.7817731551127,1626.9617628421595,1826.6739631587814,2521.432020004484,1566.468973676353,3919.429240839139,1559.1837713342732,3762.8956540609397,1571.6685560286644,2496.258284193816,1397.0736453456539,2537.002832887114,3557.13400177857,4038.217580240034,2704.4077899084623,2063.8690117404867,1556.9701079424613,1910.0523949182266,2644.0923259023593,2064.020061696932,1928.5419137072172,2338.9526603661134,1747.407817887205,1459.8204638292466,1874.3372802377783,0.0,1902.0981576856798,1899.9908030363433,2721.6255827259356,3694.6164886779125,3203.2996908219916,2232.341116995054,2012.0067925526557,2464.2763880345365,4343.658606238711,3547.0307724900217,2994.4273930775203,3866.3184820279002,1779.397955744778,2923.7416771373996,3201.66384325376,3186.924938359621,1968.8390993995579,3511.787053666528,1957.140144648178,1937.164182362026,1862.9257994412073,2142.0787824799586
topology_ad_dysplasia_1_clean.csv,2709.9104002800227,1894.9326493762162,1604.8730658774305,2867.705919970254,1847.263103435712,1353.655119729087,2332.3796012664598,1728.9891122221156,1671.1450665651719,2194.4467423482556,1632.0439575264145,2171.9934772677825,2267.1633274460137,2015.454023162275,2135.620606231377,2195.0691380438257,2639.916016180995,2178.6685430967004,2431.258468372264,2623.82210332182,1650.247906461581,2421.2770899248876,1760.1367702901453,2269.1988352118115,3451.6538884575143,2246.1375612872794,2116.8396871361047,2106.1992561356465,2703.9917065915406,2285.862182228039,2798.503515998628,3232.8718776112255,1732.9847258212126,3102.3739391464433,2267.9656107322694,3027.2099692303786,1902.0981576856798,0.0,2679.300392252253,2087.2944716074926,2760.076019342911,2547.5726935941734,1603.8341022655245,2836.06172928517,1518.397651508379,3043.698772440637,2433.721571983991,2331.6269538975484,3285.3740115570217,2307.662304480761,2871.930668064014,2593.4264551623573,2646.26945592731,1043.4565286606871,2561.6922647227884,1091.6967821583864,1992.4354004957931,2394.907099006155,2652.0585110522643
topology_dysplasia_1_clean.csv,1801.9403621629476,3117.9679317001223,3628.7795481531507,975.1993129993451,3632.4988227483777,3235.7306834414867,1166.3562475042563,3610.910900679006,2720.5310818989565,4097.1632083012755,1610.9660277058347,2443.7474562950006,1120.997328309104,1602.379527819372,1901.0627377072292,1099.3943081685534,4564.431932815071,1190.1341484010377,4342.150454573431,1070.1642875176979,3322.225298545348,1171.7391799245665,3216.9923114389508,4108.629166804653,4747.451883361693,2089.755502233442,1493.159447312542,1868.9696422701325,916.8451621969646,1959.0346231252302,887.6727353529807,2428.8844660460277,3491.2842073320558,2255.516161299976,1126.0288175634846,1498.4954168952966,1899.9908030363433,2679.300392252253,0.0,3603.571944291864,4500.092924205953,3790.169878123781,2585.53051260054,919.5236736925975,3182.2004136421674,4941.666341080502,4264.551892488418,3876.9326600096065,4610.678099680308,1170.5088089835854,1938.5955994720694,4009.3802933890106,2430.629279012442,2717.628259364414,4270.482690587195,2463.855058181043,1669.5060449036307,1221.5613946523638,1107.9361011765218
topology_ad_dysplasia_3_clean.csv,3373.7180473447506,1179.3563430449246,1592.0001652272852,3687.204317567119,2237.2678002229995,1854.3369347094304,3312.5947944596337,2116.0301907346393,1474.9380192628269,2200.630604688949,2792.9942638284556,2720.4846685548614,3193.2266432190245,3331.700062559438,3076.271031404075,2978.288038364619,2439.957036634007,3107.4766173816042,2308.294122233898,3530.1064081454356,979.3564946027996,3159.3712808307205,1051.0139430441961,2236.444546861515,1500.7513434954094,3301.4852679761752,2928.5169555375487,2187.5617213849077,3559.5471304268067,3275.565251325204,3547.2985626291143,3797.0906739578472,1385.5364925637218,3383.5835512178464,3139.4289201904658,3903.233020599483,2721.6255827259356,2087.2944716074926,3603.571944291864,0.0,1746.875062805023,1192.1696612688609,1502.705474734412,3651.2399087672143,1118.1023785573939,2770.3561473200407,1894.7291710709999,651.009401945115,1343.4316949813497,3206.3968048950287,3707.7659102854736,967.0186853434534,3472.5267495491175,2214.3599333954967,1615.6864944724607,2039.8374303187734,3039.169466037401,3481.7000992869134,3555.690970253327
topology_ad_carcinoma_6_clean.csv,4656.976890326011,1775.3459162670804,1839.4720516644588,4444.843977549469,1957.6696556225024,2089.042984086913,4309.710273775492,2120.8147688151807,2153.645304373938,1772.1932855568416,3578.7207622860183,2888.7183146639272,3920.650921184692,4260.354672774759,3554.1527645459028,4031.338911206894,1743.04344906963,3936.9867256098896,1488.8761443035733,4515.18822033461,1519.2275287107395,4137.930368850616,1551.9548800213354,1482.4785843462776,1195.2024914694894,3614.301396329624,3585.4814952979286,3178.463388087689,4372.16884559353,3642.4545405757167,4351.370144640269,5195.575491530841,2538.9411779301663,4845.740470550277,4097.044620253207,5130.326381749869,3694.6164886779125,2760.076019342911,4500.092924205953,1746.875062805023,0.0,1075.8041664355417,2224.1995004039622,4634.265055464062,1636.626401976662,1393.4264661378543,930.66340865124,1686.1274735891257,1198.5749509225373,4122.083825874519,3892.782859932211,951.1532402428908,3685.7020467994244,2887.4287424084255,532.5998951151053,2411.8400513744464,3337.625502231635,4128.873706161453,4263.690916506543
topology_dysplasia_16_clean.csv,3793.8598169603642,952.4426527268469,1869.8950541277047,3696.1590668846893,1921.5427523160163,1984.4469828769074,3632.618288640772,2104.1585329836967,1337.4868782159183,1835.6055519100712,3113.886025242577,2406.2574285644946,3327.9141002668916,3716.2870261920575,3115.4481421630157,3262.7070241109654,1885.1719855931847,3257.0971991559927,1663.9691453440498,3811.3609537255343,1261.7563987105518,3386.432569243406,1076.044197172414,1536.478846343742,1095.2406488019076,3266.0403916161245,2944.104968414807,2287.950182226223,3670.9289965378966,3231.54095665069,3659.038481070037,4322.152150115445,2047.7579787055683,3900.3310345541026,3469.2280193512765,4274.80553948958,3203.2996908219916,2547.5726935941734,3790.169878123781,1192.1696612688609,1075.8041664355417,0.0,1442.9528833500171,3870.1038575035386,1324.7285884997775,1947.549310104056,1204.943358557537,1226.634288049477,1113.4676214400827,3364.535122596954,3371.272010801739,746.6504715382847,3305.958141206388,2590.013379473511,945.9905582627755,2222.2801191451395,3058.5502904016957,3650.0268587976598,3651.2518125591428
topology_dysplasia_15_clean.csv,2831.773798693163,891.8433432106658,1684.5625918374672,2625.7259968981325,1632.5588984886938,1409.251168380948,2453.7485618941505,1721.2214592166347,728.3942730645956,1997.6293065556333,1954.103890385319,1505.4121288908902,2174.5617934262527,2464.117197840526,1948.1989483075777,2084.5836601368,2420.4827826062697,2143.3716341913864,2203.9303138811288,2639.682066264247,1263.5035967067179,2369.2848988217293,1050.5498313120963,1981.9082358135602,2390.0616009741093,2149.0983089427814,1809.5281425961218,1464.9449316489636,2553.9877961440357,2111.244436200147,2550.9559966928987,3395.1304238210555,1921.914101710365,3166.310454192722,2334.8305548369526,3139.3537927983207,2232.341116995054,1603.8341022655245,2585.53051260054,1502.705474734412,2224.1995004039622,1442.9528833500171,0.0,2748.5263024913993,1123.9211802180291,2785.8963380406044,2035.7020552964977,1725.3050487905264,2259.4171630679834,2228.7042156705484,2443.214654096292,1698.6581121605543,2255.1402005969135,1516.6080892643065,1989.6952812434617,1185.9613293040861,1945.509514877657,2498.2051106527015,2490.9432756138476
topology_dysplasia_4_clean.csv,1814.2277481891492,3203.9623673728443,3776.4990898708947,937.581672282682,3731.8332577805877,3338.544846770466,1132.9502041866265,3846.9095191641895,2846.7292557154046,4254.675180390455,1658.3168856704444,2514.4119384187043,1257.9456503488486,1705.520575177324,1953.550527065324,1138.142342852696,4701.614708923047,1201.8247926855468,4480.415614853237,1089.3152854717086,3410.7216539199585,1131.9794400484363,3322.0263429816473,4235.774121414429,4843.232278125777,2180.4505981720913,1664.9265681403676,1908.8699930061275,922.5198878913704,2081.8545745444985,876.1986852728985,2436.2941372718383,3598.8160975286405,2233.553319310312,1163.5521242251612,1409.4037247082858,2012.0067925526557,2836.06172928517,919.5236736925975,3651.2399087672143,4634.265055464062,3870.1038575035386,2748.5263024913993,0.0,3288.140223088268,5086.839105166506,4392.983553804345,3998.117579067691,4716.010136861644,1110.4433552094843,1956.1265005224136,4121.751444809901,2445.6525929563586,2862.230390641673,4395.2148454724575,2614.4732100087754,1723.8933325559633,1131.2084716217885,1002.5976532794674
