,dysplasia_FA_HN14_2_mac.csv,stroma_ad_carcinoma_FA_HN14_5_mac.csv,stroma_ad_dysplasia_FA_HN11A_4_mac.csv,stroma_ad_carcinoma_FA_HN14_2_mac.csv,dysplasia_FA_HN15_5_mac.csv,dysplasia_FA_HN11A_5_mac.csv,dysplasia_FA_HN15_2_mac.csv,dysplasia_FA_HN15_1_mac.csv,stroma_ad_carcinoma_FA_HN11A_2_mac.csv,carcinoma_FA_HN14_3_mac.csv,stroma_ad_dysplasia_FA_HN14_4_mac.csv,carcinoma_FA_HN11A_3_mac.csv,stroma_ad_carcinoma_FA_HN15_2_mac.csv,carcinoma_FA_HN14_2_mac.csv,carcinoma_FA_HN14_4_mac.csv,stroma_ad_carcinoma_FA_HN15_1_mac.csv,stroma_ad_dysplasia_FA_HN11A_1_mac.csv,carcinoma_FA_HN14_1_mac.csv,dysplasia_FA_HN11A_2_mac.csv,stroma_ad_dysplasia_FA_HN15_3_mac.csv,stroma_ad_carcinoma_FA_HN14_1_mac.csv,stroma_ad_carcinoma_FA_HN11A_1_mac.csv,stroma_ad_dysplasia_FA_HN15_4_mac.csv,carcinoma_FA_HN11A_4_mac.csv,stroma_ad_dysplasia_FA_HN11A_2_mac.csv,stroma_ad_carcinoma_FA_HN14_4_mac.csv,dysplasia_FA_HN14_1_mac.csv,stroma_ad_carcinoma_FA_HN15_3_mac.csv,stroma_ad_dysplasia_FA_HN15_1_mac.csv,stroma_ad_dysplasia_FA_HN14_1_mac.csv,dysplasia_FA_HN11A_3_mac.csv,dysplasia_FA_HN11A_4_mac.csv,stroma_ad_dysplasia_FA_HN11A_3_mac.csv,stroma_ad_dysplasia_FA_HN14_3_mac.csv,stroma_ad_carcinoma_FA_HN15_4_mac.csv,stroma_ad_carcinoma_FA_HN14_3_mac.csv,stroma_ad_dysplasia_FA_HN15_2_mac.csv,stroma_ad_dysplasia_FA_HN15_5_mac.csv,carcinoma_FA_HN15_2_mac.csv,dysplasia_FA_HN11A_1_mac.csv,stroma_ad_dysplasia_FA_HN11A_5_mac.csv,carcinoma_FA_HN11A_2_mac.csv,dysplasia_FA_HN15_3_mac.csv,carcinoma_FA_HN11A_1_mac.csv,carcinoma_FA_HN11A_5_mac.csv,stroma_ad_dysplasia_FA_HN14_2_mac.csv,carcinoma_FA_HN15_1_mac.csv
stroma_ad_dysplasia_FA_HN14_4_mac.csv,inf,2534.854607133134,1916.6164481377696,1836.2104664140195,5065.158234449531,2449.436866783261,4388.830915717151,6097.705631818025,3302.0960492811473,inf,0.0,3255.59751589405,4722.558120840064,4832.087544648169,4616.282661243317,5370.2847422845,2799.235279244674,3669.6322142135464,3675.8565578141915,4118.474244417504,2216.56236210551,4326.540984149445,4081.9526394271857,3613.165369131295,1882.9913667496814,2028.2439606828425,inf,4618.715094822294,3453.042631487717,2894.622227784466,4647.641972819843,2483.2484613255765,1804.157381889511,inf,5074.571172618795,1949.8711570195392,3382.4317959551627,4090.0028198101163,4657.3225257984,2239.6469626321727,2129.2680156828933,2054.3777890048245,inf,2364.0005325013017,2641.5450512074303,1342.749972292368,4726.077177738732
carcinoma_FA_HN11A_3_mac.csv,inf,3030.886610291196,2814.1329634102385,2320.7140882820486,2690.6341401816735,1863.176021077247,2008.7415066991537,3546.7729095213963,1341.6909888339585,inf,3255.59751589405,0.0,3721.6247342310157,6031.325751088773,5988.843703950524,2519.56713624604,1246.1374986461008,4684.390892664422,2036.4667416768723,4057.222802922909,1653.3163862556455,4008.040221900494,4647.243294782993,1780.0712230808829,1917.3218819648675,2983.353140620855,inf,5082.976199366682,2223.3917353098186,1327.0051726330498,1841.1451490730149,2028.2127530692603,2105.7031083924808,inf,2822.5416064476053,2041.2276962968292,1506.8630533307226,5253.329293038029,3460.2887697584415,3406.212637005054,3605.304233588066,2121.345820348017,inf,1008.2911278886395,2291.2844926230105,2250.9193323432683,2163.517979264312
stroma_ad_carcinoma_FA_HN15_2_mac.csv,inf,2778.99968693281,3120.234163515179,3807.9835684698337,5690.329136146986,2885.0096447676538,2193.2106016399957,6135.007536743588,4733.808453103911,inf,4722.558120840064,3721.6247342310157,0.0,4464.108920607457,4988.553771898795,4338.871669499769,4267.161007853205,3491.6188409386937,5513.298205158513,1437.7776434134496,3893.8848983223393,7360.747328102758,7670.857970579692,5339.0773277910275,4119.808407758808,2965.203727051632,inf,2593.3417826850787,5644.820124196752,2989.5154809193073,3778.6320247508284,2659.8080565173045,3850.1120402195165,inf,5357.05458060212,3640.5076690769065,2413.2674154679144,8107.981701699161,562.9699565232585,3257.3630547026346,6000.081624586669,3078.2527501971513,inf,3902.5932921025383,2339.8230152697665,3558.6397856610756,2131.097771075436
carcinoma_FA_HN14_2_mac.csv,inf,3419.7094362693383,3723.2485714888394,5017.015547892271,8597.082663268999,4423.214424968822,5768.598367881796,9364.737447312786,7100.598932243419,inf,4832.087544648169,6031.325751088773,4464.108920607457,0.0,1270.3951420153026,7911.826938830565,6378.039373915064,1382.858111583272,7583.281484404057,3579.9899304315036,5483.451736132491,8870.86329010987,8874.185390887165,7422.505482267903,5761.071821993111,3297.627625046738,inf,2084.220702700472,7747.766814873265,5464.29968672597,7053.456086137205,4204.174596613557,5025.166774654346,inf,8607.462128238249,5015.599389637615,5361.1054659915535,8766.635953891166,4592.688380351747,2806.5971999630547,6899.8686991088325,4158.356792920714,inf,5581.788355376912,3776.520453695178,4673.655759800127,6166.781291625188
carcinoma_FA_HN14_4_mac.csv,inf,3503.766475768506,3651.977460296877,4926.527444761454,8593.522774840676,4349.498295669366,5977.560942920557,9405.54765780239,7066.206205989665,inf,4616.282661243317,5988.843703950524,4988.553771898795,1270.3951420153026,0.0,8040.277994263033,6322.458028375144,1639.6077885994403,7504.245170940372,4131.89467057353,5366.592136373804,8679.585025394379,8674.799076905007,7342.82437515053,5689.046773018801,3299.0798355299053,inf,2734.088625781284,7635.627514707258,5486.974617191587,7174.931424389578,4183.448409853255,4936.938643370878,inf,8664.182744729782,4951.748253025137,5483.462493061699,8419.798803061676,5159.408826853759,2736.6470699880947,6665.136866737147,4088.746076165679,inf,5446.8224762365635,3810.103803688924,4575.289218993402,6470.313083694095
stroma_ad_carcinoma_FA_HN15_1_mac.csv,inf,4667.010162627093,4780.72753555117,4228.09064047113,1804.5168234177438,3972.260499633399,2263.646316172284,1921.1755609235317,2481.6772328209,inf,5370.2847422845,2519.56713624604,4338.871669499769,7911.826938830565,8040.277994263033,0.0,2791.0813900683324,6576.85761056365,2816.0962192008437,5134.634824151498,3567.247547955267,4904.375727560155,5747.527620416923,2616.735454588667,3703.182143413503,4842.412276727717,inf,6446.577274098369,3290.8093162810337,2953.0045535906547,944.272470436029,3993.8244764286014,3977.5972587663687,inf,1593.7337467543218,3862.3398906041243,2623.2746123725788,6416.979468802545,4128.5304872793595,5465.226239673813,5171.396539917088,4079.601295047205,inf,3218.1342696215706,4312.760298360179,4373.878938406785,2277.169900342934
stroma_ad_dysplasia_FA_HN11A_1_mac.csv,inf,3077.7598192772975,2715.153764442433,1756.475107636118,2432.4167854846582,2069.523901563481,2841.911565778081,3454.713546059277,923.3124467598101,inf,2799.235279244674,1246.1374986461008,4267.161007853205,6378.039373915064,6322.458028375144,2791.0813900683324,0.0,5050.992306340444,1663.3718354931293,4431.341089543791,1198.1726397536474,3123.567584409306,3584.5591267333566,1457.6656692704307,1049.5379576866799,3094.3547733830737,inf,5551.9861094441785,1475.0276934758333,1322.6823446726414,2314.981821428994,2233.2891114518325,1521.8812391096365,inf,2599.618819404725,1460.6228566813475,1929.0162676184045,4168.387706352764,4090.2914919159994,3596.807471856032,2518.4612346885224,2269.666686563255,inf,1112.3727012318575,2655.8301013438545,1987.3715601332644,3020.3831170604108
carcinoma_FA_HN14_1_mac.csv,inf,2072.9237970121553,2450.4278982048977,3761.143830045328,7248.504813066343,3305.363298069717,4454.0334223876935,8013.992557796213,5765.005454182827,inf,3669.6322142135464,4684.390892664422,3491.6188409386937,1382.858111583272,1639.6077885994403,6576.85761056365,5050.992306340444,0.0,6314.785320604808,2908.8249422339645,4236.770841711388,7665.319801505691,7676.058562312499,6152.49465102871,4467.962288684461,2010.116095295652,inf,1355.9645561483778,6471.967667751045,4115.975263319173,5711.850717086228,2976.230432092406,3777.380287780953,inf,7257.879040222137,3731.591316241752,4023.461199575703,7662.0205165468105,3553.686349542134,1575.1813365509763,5718.105915362174,2993.3251126920995,inf,4338.988978080192,2466.25936109237,3411.758499165879,4897.33126861381
dysplasia_FA_HN11A_2_mac.csv,inf,4370.303823008953,3920.8228257442643,3203.9620128809875,1680.9853152040748,3258.5066005976855,3859.704002105265,2729.6509202491975,1095.4742574022969,inf,3675.8565578141915,2036.4667416768723,5513.298205158513,7583.281484404057,7504.245170940372,2816.0962192008437,1663.3718354931293,6314.785320604808,0.0,5682.885669997822,2602.6184506948125,2142.807979237655,3003.8877055040643,601.8814518783138,2360.8483354080477,4320.736046423491,inf,6841.10558893943,959.0833186728098,2647.5334216360143,2561.8212247747533,3481.1501283118787,2940.745955838937,inf,1745.9789585546882,2894.0145513609937,3129.9652134447106,3677.9428044876427,5322.828240266782,4789.308947956735,2809.3904008534914,3453.0358431938043,inf,2200.2350911668955,3944.5390017403615,3178.12327741315,3937.1329300624857
stroma_ad_dysplasia_FA_HN15_3_mac.csv,inf,2301.123899987675,2656.4585550106954,3531.2113151741355,6174.328594304962,2658.5583079358557,3017.793987406278,6815.681007043699,4946.302850632977,inf,4118.474244417504,4057.222802922909,1437.7776434134496,3579.9899304315036,4131.89467057353,5134.634824151498,4431.341089543791,2908.8249422339645,5682.885669997822,0.0,3919.88978952344,7367.259218244928,7530.669188097084,5584.198499750926,3991.5251154525436,2480.090128215317,inf,2070.4256857633663,5780.170015430418,3206.4134445666627,4431.1438426355235,2422.1649146610125,3655.9214846824602,inf,5936.470532503146,3460.6267713506663,2848.567919365873,7865.232713321609,1591.8092393456402,2646.008341705272,5708.912002232939,2846.9798061851234,inf,4026.9092116314673,2163.4630284071477,3183.554251021392,3096.8951075510936
