,dysplasia_FA_HN11A_4_otras.csv,carcinoma_FA_HN11A_5_otras.csv,stroma_ad_dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_3_otras.csv,dysplasia_FA_HN11A_3_otras.csv,stroma_ad_dysplasia_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN11A_2_otras.csv,carcinoma_FA_HN14_3_otras.csv,carcinoma_FA_HN14_4_otras.csv,stroma_ad_carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN14_1_otras.csv,stroma_ad_dysplasia_FA_HN14_2_otras.csv,stroma_ad_dysplasia_FA_HN11A_5_otras.csv,dysplasia_FA_HN15_5_otras.csv,dysplasia_FA_HN14_1_otras.csv,dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN15_4_otras.csv,carcinoma_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_5_otras.csv,carcinoma_FA_HN15_1_otras.csv,carcinoma_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN14_3_otras.csv,stroma_ad_carcinoma_FA_HN14_5_otras.csv,carcinoma_FA_HN11A_2_otras.csv,stroma_ad_dysplasia_FA_HN14_3_otras.csv,carcinoma_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_4_otras.csv,dysplasia_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_2_otras.csv,dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_2_otras.csv,stroma_ad_carcinoma_FA_HN15_4_otras.csv,stroma_ad_dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN15_5_otras.csv,stroma_ad_dysplasia_FA_HN14_4_otras.csv,stroma_ad_dysplasia_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_2_otras.csv,carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN15_3_otras.csv,dysplasia_FA_HN15_2_otras.csv,carcinoma_FA_HN11A_3_otras.csv,carcinoma_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN15_2_otras.csv,dysplasia_FA_HN15_3_otras.csv,stroma_ad_dysplasia_FA_HN15_3_otras.csv
dysplasia_FA_HN11A_2_otras.csv,inf,inf,34.668607998994645,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,67.63568632494287,inf,inf,inf,inf,inf,inf,inf,inf,73.03336173453295,inf,inf,inf,2.0486726208318706e-308,81.06865443145117,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,57.23688925594534
dysplasia_FA_HN15_1_otras.csv,inf,inf,63.73435043195384,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,85.32797764397327,inf,inf,inf,inf,inf,inf,inf,inf,83.8043195095762,inf,inf,inf,81.06865443145117,1.5729732974629734e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,67.21677210281462
stroma_ad_dysplasia_FA_HN11A_2_otras.csv,inf,inf,inf,inf,inf,inf,84.53492232957765,inf,86.37409995106711,inf,inf,81.01747726302835,66.74922985304241,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,73.978362394165,inf,inf,inf,0.0,inf,inf,inf,82.91508124861792,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN15_4_otras.csv,44.776045420128014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.83925560358139,inf,55.02932725584746,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0847918982890616e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_1_otras.csv,inf,inf,inf,52.39826239841133,inf,84.3156871176304,inf,inf,inf,63.72645091659217,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.4801603107535667e-308,inf,inf,inf,inf,43.06103326536133,65.98320454235463,65.98320454235463,66.0968615803387,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_5_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,80.86187786513193,inf,inf,inf,inf,inf,inf,inf,33.0738895531554,inf,inf,inf,inf,56.016588108286214,29.923395134750095,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.6202303949336285e-308,inf,45.2750594451018,40.63350949534532,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN14_4_otras.csv,inf,inf,inf,inf,inf,inf,39.45336342957984,inf,25.49001424532753,inf,inf,32.19787227693749,71.54944186293795,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.57695800067367,inf,inf,inf,82.91508124861792,inf,inf,inf,8.890069392834986e-309,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN14_1_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,71.43337251679807,inf,inf,inf,inf,inf,inf,inf,68.9814230557804,inf,inf,inf,inf,49.08839194875388,26.71925387962456,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,45.2750594451018,inf,1.711043695173279e-308,52.607966231808675,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_2_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,50.977660271232665,inf,inf,inf,inf,inf,inf,inf,22.728411013715885,inf,inf,inf,inf,15.383078612940892,34.51307523026094,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,40.63350949534532,inf,52.607966231808675,1.027151734201258e-308,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN11A_1_otras.csv,inf,inf,inf,32.96862237985067,inf,81.43088329147028,inf,inf,inf,67.57315841296065,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,43.06103326536133,inf,inf,inf,inf,1.6474870042514267e-308,56.2683845330743,56.2683845330743,60.32725392801845,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN15_3_otras.csv,inf,inf,inf,40.07009368416128,inf,63.04624857268264,inf,inf,inf,83.8278139561967,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.98320454235463,inf,inf,inf,inf,56.2683845330743,1.908172832180141e-308,11.165622257419702,23.55798449044316,inf,inf,inf,inf
dysplasia_FA_HN15_2_otras.csv,inf,inf,inf,48.726153602624706,inf,58.71821861345093,inf,inf,inf,83.8278139561967,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.98320454235463,inf,inf,inf,inf,56.2683845330743,11.165622257419702,2.041443332107002e-308,19.502790197860186,inf,inf,inf,inf
carcinoma_FA_HN11A_3_otras.csv,inf,inf,inf,63.62807817460444,inf,51.26725632746107,inf,inf,inf,83.8278139561967,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,66.0968615803387,inf,inf,inf,inf,60.32725392801845,23.55798449044316,19.502790197860186,1.6173725955578317e-308,inf,inf,inf,inf
carcinoma_FA_HN11A_4_otras.csv,inf,58.45322103716994,inf,inf,inf,inf,inf,77.77514959584445,inf,inf,inf,inf,inf,inf,inf,37.446154245687,71.38195459215933,inf,inf,inf,inf,inf,57.915871582853754,inf,inf,inf,inf,68.04820477736976,inf,71.23747159191021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.5060314118788043e-308,inf,inf,inf
stroma_ad_carcinoma_FA_HN15_2_otras.csv,inf,inf,inf,inf,38.800077907751714,inf,inf,inf,inf,inf,inf,inf,inf,78.21714019331009,48.20805659996806,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.420481875364371e-308,inf,inf
dysplasia_FA_HN15_3_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.70390156266037e-308,inf
stroma_ad_dysplasia_FA_HN15_3_otras.csv,inf,inf,62.512566607248004,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,71.21207230950372,inf,inf,inf,inf,inf,inf,inf,inf,77.2572325747723,inf,inf,inf,57.23688925594534,67.21677210281462,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.951799238546204e-308
