,carcinoma_FA_HN11A_3_total.csv,stroma_ad_dysplasia_FA_HN11A_2_total.csv,stroma_ad_dysplasia_FA_HN15_5_total.csv,stroma_ad_carcinoma_FA_HN11A_1_total.csv,stroma_ad_dysplasia_FA_HN15_2_total.csv,stroma_ad_carcinoma_FA_HN11A_2_total.csv,dysplasia_FA_HN15_2_total.csv,stroma_ad_dysplasia_FA_HN15_4_total.csv,carcinoma_FA_HN14_4_total.csv,stroma_ad_carcinoma_FA_HN14_5_total.csv,carcinoma_FA_HN11A_1_total.csv,dysplasia_FA_HN15_3_total.csv,stroma_ad_dysplasia_FA_HN14_2_total.csv,carcinoma_FA_HN11A_4_total.csv,carcinoma_FA_HN15_1_total.csv,carcinoma_FA_HN14_2_total.csv,dysplasia_FA_HN11A_3_total.csv,carcinoma_FA_HN11A_5_total.csv,stroma_ad_carcinoma_FA_HN15_4_total.csv,stroma_ad_dysplasia_FA_HN14_4_total.csv,dysplasia_FA_HN11A_2_total.csv,stroma_ad_dysplasia_FA_HN15_1_total.csv,dysplasia_FA_HN11A_5_total.csv,dysplasia_FA_HN14_2_total.csv,dysplasia_FA_HN15_5_total.csv,stroma_ad_dysplasia_FA_HN11A_3_total.csv,carcinoma_FA_HN11A_2_total.csv,carcinoma_FA_HN14_3_total.csv,stroma_ad_dysplasia_FA_HN11A_5_total.csv,stroma_ad_carcinoma_FA_HN14_3_total.csv,stroma_ad_carcinoma_FA_HN15_3_total.csv,stroma_ad_dysplasia_FA_HN11A_4_total.csv,stroma_ad_dysplasia_FA_HN14_1_total.csv,stroma_ad_carcinoma_FA_HN14_2_total.csv,dysplasia_FA_HN11A_4_total.csv,stroma_ad_dysplasia_FA_HN15_3_total.csv,dysplasia_FA_HN11A_1_total.csv,stroma_ad_dysplasia_FA_HN11A_1_total.csv,carcinoma_FA_HN14_1_total.csv,stroma_ad_carcinoma_FA_HN14_1_total.csv,dysplasia_FA_HN14_1_total.csv,dysplasia_FA_HN15_1_total.csv,stroma_ad_carcinoma_FA_HN14_4_total.csv,stroma_ad_carcinoma_FA_HN15_1_total.csv,stroma_ad_carcinoma_FA_HN15_2_total.csv,stroma_ad_dysplasia_FA_HN14_3_total.csv,carcinoma_FA_HN15_2_total.csv
carcinoma_FA_HN11A_1_total.csv,147.65167505138206,inf,inf,237.87888111520562,169.46412008994616,237.87888111520562,181.9503298910048,inf,181.08495694144787,154.71219399888383,1.079859957547362e-308,245.207403162607,237.87888111520562,244.70867545193795,34.670150815684735,75.31605705332325,237.87888111520562,237.87888111520562,237.87888111520562,237.87888111520562,124.29943500173941,inf,151.67236060007968,190.118477337961,117.11334989742753,inf,220.7758337994279,122.78323925003104,inf,237.87888111520562,194.47698643984498,inf,120.70838513101978,176.59360685254507,115.52097310245912,138.10714541331004,237.87888111520562,inf,120.35581395094567,65.38899296752014,219.6313813842495,141.32581218732724,207.65832386316515,103.33989182378555,237.87888111520562,163.61310103056505,190.58085014509675
dysplasia_FA_HN15_3_total.csv,270.25537663268557,inf,inf,331.69712030045105,331.69712030045105,331.69712030045105,152.08198693931394,inf,208.01243813386014,331.69712030045105,245.207403162607,1.6205511914348326e-308,331.69712030045105,193.74283150259896,230.744182416022,208.9294324871401,331.69712030045105,331.69712030045105,331.69712030045105,331.69712030045105,311.93591337223035,inf,331.69712030045105,331.69712030045105,250.773574985535,inf,331.69712030045105,310.41971762052196,inf,331.69712030045105,331.69712030045105,inf,306.0374445165429,331.69712030045105,274.1249587970828,325.74362378380096,331.69712030045105,inf,307.9922923214366,270.2553766326855,331.69712030045105,129.59484937776483,331.69712030045105,248.51233482668312,331.69712030045105,331.69712030045105,182.10104322674562
stroma_ad_dysplasia_FA_HN14_2_total.csv,226.36558175930446,inf,inf,44.61561982362002,91.62256953512343,54.551343020923355,255.6561268307941,inf,227.690901233521,106.37449562618575,237.87888111520562,331.69712030045105,7.463572343541655e-309,360.23321884117456,232.74705403968542,227.23240405688102,62.18230834912568,29.71462926412984,39.58633989416052,43.453223948375665,136.78725462333017,inf,109.41432902498991,85.86279997077395,197.94959301002552,inf,76.85155511765818,138.30345037503855,inf,92.44846050782763,84.17824598347417,inf,142.68572347901758,84.49308277252452,174.5982091984777,122.97954421175955,80.9151486892408,inf,140.73087567412392,195.69769665754944,81.59450641966053,266.89969561156863,53.428365761904445,224.32840438504994,55.26825013073678,123.39235827931265,240.64659868707827
carcinoma_FA_HN11A_4_total.csv,267.7352741637402,inf,inf,360.23321884117456,360.23321884117456,360.23321884117456,209.15418402076097,inf,265.0846352153071,360.23321884117456,244.70867545193795,193.74283150259896,360.23321884117456,6.489990461448297e-309,254.9723296029783,266.0016295685871,360.23321884117456,360.23321884117456,360.23321884117456,360.23321884117456,360.23321884117456,inf,360.23321884117456,360.23321884117456,307.845772066982,inf,360.23321884117456,360.23321884117456,inf,360.23321884117456,360.23321884117456,inf,360.23321884117456,360.23321884117456,331.1971558785298,360.23321884117456,360.23321884117456,inf,360.23321884117456,310.09766841945805,360.23321884117456,186.66704645921186,360.23321884117456,271.8096289122493,360.23321884117456,360.23321884117456,239.17324030819265
carcinoma_FA_HN15_1_total.csv,154.88328542467454,inf,inf,232.74705403968542,159.20046593890575,232.74705403968542,167.48710914441978,inf,146.41480612576314,144.44853984784345,34.670150815684735,230.744182416022,232.74705403968542,254.9723296029783,1.180690953861282e-308,75.4369445623197,232.74705403968542,232.74705403968542,232.74705403968542,232.74705403968542,114.03578085069904,inf,141.4087064490393,179.85482318692058,117.23423740642397,inf,210.51217964838747,112.51958509899065,inf,232.74705403968542,184.21333228880462,inf,119.38664798000991,166.32995270150468,104.79851468809912,127.84349126226965,232.74705403968542,inf,110.09215979990529,77.10107363598343,209.36772723320908,137.99813978278192,197.39466971212477,103.46077933278201,232.74705403968542,153.3494468795247,155.910699329412
carcinoma_FA_HN14_2_total.csv,180.23776573350852,inf,inf,227.23240405688102,148.17116597329698,227.23240405688102,116.77814852675186,inf,139.42492052612246,134.37090852375778,75.31605705332325,208.9294324871401,227.23240405688102,266.0016295685871,75.4369445623197,1.242306513887326e-308,227.23240405688102,227.23240405688102,227.23240405688102,226.3530624227776,107.73003705491746,inf,160.4885454600111,168.82552322131178,50.12338018985881,inf,199.48287968277867,101.49028513338186,inf,227.23240405688102,173.18403232319582,inf,97.1080120294028,155.30065273589585,104.86079314412498,116.81419129666084,227.23240405688102,inf,99.06285983429648,127.81003425365134,198.33842726760028,99.6657757720019,186.36536974651594,68.85158864223004,227.23240405688102,142.3201469139159,148.9208137297714
dysplasia_FA_HN11A_3_total.csv,226.36558175930446,inf,inf,66.79701577262139,84.96717311977423,52.25662436153556,255.6561268307941,inf,227.690901233521,99.71909921083656,237.87888111520562,331.69712030045105,62.18230834912568,360.23321884117456,232.74705403968542,227.23240405688102,7.9013693171455e-309,47.06580724396804,46.56187241684962,20.400298310089013,130.13185820798094,inf,102.75893260964071,64.3128158717594,191.2941965946763,inf,44.10615217290291,131.64805395968935,inf,82.77505465272117,59.95430676987539,inf,136.03032706366838,86.49585235081511,167.94281278312852,116.32414779641036,67.94997112741213,inf,134.07547925877472,189.0423002422002,58.34345029997053,266.89969561156863,59.450082863958755,224.32840438504994,33.949376494112485,90.8181921791553,240.64659868707827
carcinoma_FA_HN11A_5_total.csv,226.36558175930446,inf,inf,42.1663646469975,93.41431484412641,43.80948263718337,255.6561268307941,inf,227.690901233521,108.16624093518874,237.87888111520562,331.69712030045105,29.71462926412984,360.23321884117456,232.74705403968542,227.23240405688102,47.06580724396804,1.0187500074553405e-308,21.032433699012216,28.862816544961092,138.57899993233312,inf,111.20607433399287,72.75995759611158,199.74133831902847,inf,47.13692585352834,140.09519568404153,inf,73.89455431267935,68.40144849422757,inf,144.4774687880206,86.28482808152751,176.3899545074807,124.77128952076254,55.80863583571085,inf,142.5226209831269,197.48944196655242,70.4847855916718,266.89969561156863,68.33058320400058,224.32840438504994,50.2716275024892,108.01561696514113,240.64659868707827
stroma_ad_carcinoma_FA_HN15_4_total.csv,226.36558175930446,inf,inf,45.04640660244915,87.26158755266908,49.962209928640696,255.6561268307941,inf,227.690901233521,102.01351364373141,237.87888111520562,331.69712030045105,39.58633989416052,360.23321884117456,232.74705403968542,227.23240405688102,46.56187241684962,21.032433699012216,8.731491918762084e-309,48.947070962534696,132.4262726408758,inf,105.05334704253556,74.3861506023558,193.58861102757115,inf,53.620639299129834,137.9836938168452,inf,67.06579901088492,87.73416731861579,inf,138.32474149656326,80.13210079007017,170.23722721602337,126.59141352123744,44.612164722992226,inf,136.36989369166957,191.33671467509507,81.6812567043904,266.89969561156863,89.3630169030128,224.32840438504994,47.87592540922569,116.10711616420645,240.64659868707827
stroma_ad_dysplasia_FA_HN14_4_total.csv,224.6194178276245,inf,inf,52.25718103246578,78.18189644948063,60.56645408423026,255.6561268307941,inf,227.27005677605757,92.93382254054295,237.87888111520562,331.69712030045105,43.453223948375665,360.23321884117456,232.74705403968542,226.3530624227776,20.400298310089013,28.862816544961092,48.947070962534696,8.60406809022728e-309,123.34658153768737,inf,95.97365593934711,66.30094484773761,184.50891992438272,inf,38.640595754847084,124.86277728939575,inf,101.80919157620181,53.16903009958179,inf,129.24505039337478,77.63005907243033,161.1575361128349,109.53887112611675,82.0899418512677,inf,127.29020258848112,182.25702357190664,61.932175193461035,266.89969561156863,40.41594594047811,220.54506307911544,27.098267028796172,94.20540281675162,240.64659868707827
