,stroma_ad_dysplasia_FA_HN11A_3_t.csv,dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN14_3_t.csv,stroma_ad_carcinoma_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN14_1_t.csv,stroma_ad_dysplasia_FA_HN15_2_t.csv,dysplasia_FA_HN15_2_t.csv,stroma_ad_dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN11A_5_t.csv,stroma_ad_dysplasia_FA_HN15_3_t.csv,stroma_ad_dysplasia_FA_HN11A_5_t.csv,dysplasia_FA_HN15_5_t.csv,dysplasia_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN15_5_t.csv,carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN11A_1_t.csv,stroma_ad_carcinoma_FA_HN14_5_t.csv,dysplasia_FA_HN11A_4_t.csv,carcinoma_FA_HN11A_1_t.csv,dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN15_2_t.csv,carcinoma_FA_HN14_2_t.csv,dysplasia_FA_HN15_1_t.csv,carcinoma_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN14_2_t.csv,carcinoma_FA_HN11A_4_t.csv,stroma_ad_dysplasia_FA_HN11A_4_t.csv,dysplasia_FA_HN15_3_t.csv,carcinoma_FA_HN14_4_t.csv,stroma_ad_carcinoma_FA_HN14_3_t.csv,carcinoma_FA_HN11A_3_t.csv,stroma_ad_dysplasia_FA_HN11A_2_t.csv,carcinoma_FA_HN15_1_t.csv,dysplasia_FA_HN11A_5_t.csv,stroma_ad_carcinoma_FA_HN15_4_t.csv,carcinoma_FA_HN14_3_t.csv,dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN15_3_t.csv,stroma_ad_carcinoma_FA_HN15_2_t.csv,stroma_ad_carcinoma_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN15_4_t.csv,dysplasia_FA_HN11A_3_t.csv
carcinoma_FA_HN14_2_t.csv,inf,inf,78.3251979038022,68.51155937437915,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0624295090064907e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
dysplasia_FA_HN15_1_t.csv,51.03234319477319,inf,inf,inf,58.47240011034613,84.87342785000521,inf,47.0006677480944,inf,inf,84.64689116984451,inf,89.69617547525928,inf,inf,inf,60.8884600930017,inf,68.47169725823704,inf,inf,76.11235390328483,inf,inf,2.2110719963544324e-308,inf,44.9272692031103,inf,23.13398948473675,inf,inf,89.92076184887114,inf,54.51161167793495,inf,inf,82.5702822401309,inf,inf,inf,inf,64.07540479057079,54.70958445815192,inf,inf,inf,inf
carcinoma_FA_HN14_1_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59.66250829029529,inf,inf,inf,inf,inf,inf,inf,12.00057653072831,inf,inf,1.805759739820198e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,77.36786789601024,inf,inf,inf,75.88278645047848,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_2_t.csv,30.99823230916472,inf,inf,inf,27.09026181447166,79.89231729378983,inf,8.855260595617207,inf,inf,79.43924393346842,inf,89.53781254429799,inf,inf,inf,31.922381779782796,inf,47.088856110253516,inf,inf,62.370169400349056,inf,inf,44.9272692031103,inf,1.6817169484109484e-308,inf,43.58211213333425,inf,inf,89.92076184887114,inf,19.168684949649318,inf,inf,75.28602607404122,inf,inf,inf,inf,38.296271174921,19.564630510083262,inf,inf,inf,inf
carcinoma_FA_HN11A_4_t.csv,inf,68.53366609462279,inf,inf,inf,inf,inf,inf,87.44195035360241,87.68528116308127,inf,inf,inf,inf,inf,50.21863085930728,inf,84.56079700487746,inf,inf,54.74724688915697,inf,inf,inf,inf,inf,inf,1.841370185464069e-308,inf,inf,inf,inf,12.891239643484898,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN11A_4_t.csv,51.03234319477319,inf,inf,inf,58.47240011034613,84.87342785000521,inf,47.0006677480944,inf,inf,84.64689116984451,inf,89.69617547525928,inf,inf,inf,60.8884600930017,inf,68.47169725823704,inf,inf,76.11235390328481,inf,inf,23.13398948473675,inf,43.58211213333425,inf,8.66214593548043e-309,inf,inf,89.92076184887114,inf,54.51161167793495,inf,inf,82.5702822401309,inf,inf,inf,inf,64.07540479057079,54.70958445815192,inf,inf,inf,inf
dysplasia_FA_HN15_3_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.9368041446058055e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN14_4_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.743584626423255e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_3_t.csv,77.7768373081959,inf,inf,inf,62.896723477050045,39.352263060088234,inf,85.8401882015535,inf,inf,28.17976704900434,inf,47.25649470020244,inf,inf,inf,58.06460351173891,inf,42.89812918126819,inf,inf,63.18963300812777,inf,inf,89.92076184887114,inf,89.92076184887114,inf,89.92076184887114,inf,inf,7.89017123046002e-309,inf,70.81830034187237,inf,inf,33.75322624473671,inf,inf,inf,inf,51.6907141166007,70.42235478143843,inf,inf,inf,inf
carcinoma_FA_HN11A_3_t.csv,inf,68.53366609462279,inf,inf,inf,inf,inf,inf,88.16851779649022,88.29018320122964,inf,inf,inf,inf,inf,60.83405995234975,inf,86.72794112212773,inf,inf,66.27303483466261,inf,inf,inf,inf,inf,inf,12.891239643484898,inf,inf,inf,inf,1.6180792665252114e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN11A_2_t.csv,19.960330019444143,inf,inf,inf,33.76344164967091,78.17714120805243,inf,15.021887859681115,inf,inf,60.2705589838191,inf,88.22168203111974,inf,inf,inf,31.95552320137928,inf,32.70069762373926,inf,inf,43.20148445069973,inf,inf,54.51161167793495,inf,19.168684949649318,inf,54.51161167793495,inf,inf,70.81830034187237,inf,1.086623807063285e-308,inf,inf,76.07082724685779,inf,inf,inf,inf,43.627770912091265,27.885047687008836,inf,inf,inf,inf
carcinoma_FA_HN15_1_t.csv,inf,inf,inf,inf,inf,inf,36.225309624958214,inf,inf,inf,inf,inf,inf,64.23165664223393,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.91045694006579e-308,inf,inf,inf,64.58904066774454,inf,inf,inf,inf,80.52164557653694,72.00403167289471,69.9961119686505,88.20361799842902
dysplasia_FA_HN11A_5_t.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.69098359979304,inf,inf,inf,inf,inf,inf,inf,77.36786789601024,inf,inf,77.36786789601024,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.2580714183653924e-308,inf,inf,inf,31.055177631429416,inf,inf,inf,inf,inf,inf,inf
