,topology_carcinoma_9_clean_t.csv,topology_carcinoma_20_clean_t.csv,topology_dysplasia_14_clean_t.csv,topology_dysplasia_15_clean_t.csv,topology_ad_carcinoma_13_clean_t.csv,topology_dysplasia_1_clean_t.csv,topology_ad_dysplasia_4_clean_t.csv,topology_carcinoma_14_clean_t.csv,topology_dysplasia_2_clean_t.csv,topology_ad_dysplasia_1_clean_t.csv,topology_ad_carcinoma_14_clean_t.csv,topology_dysplasia_12_clean_t.csv,topology_carcinoma_2_clean_t.csv,topology_ad_carcinoma_3_clean_t.csv,topology_ad_carcinoma_11_clean_t.csv,topology_dysplasia_5_clean_t.csv,topology_ad_dysplasia_10_clean_t.csv,topology_ad_dysplasia_8_clean_t.csv,topology_ad_carcinoma_4_clean_t.csv,topology_carcinoma_12_clean_t.csv,topology_ad_carcinoma_15_clean_t.csv,topology_ad_dysplasia_2_clean_t.csv,topology_carcinoma_13_clean_t.csv,topology_dysplasia_7_clean_t.csv,topology_carcinoma_18_clean_t.csv,topology_carcinoma_19_clean_t.csv,topology_ad_carcinoma_7_clean_t.csv,topology_carcinoma_7_clean_t.csv,topology_carcinoma_5_clean_t.csv,topology_carcinoma_6_clean_t.csv,topology_carcinoma_10_clean_t.csv,topology_dysplasia_4_clean_t.csv,topology_carcinoma_11_clean_t.csv,topology_ad_dysplasia_7_clean_t.csv,topology_ad_dysplasia_3_clean_t.csv,topology_ad_carcinoma_8_clean_t.csv,topology_carcinoma_16_clean_t.csv,topology_carcinoma_8_clean_t.csv,topology_dysplasia_10_clean_t.csv,topology_dysplasia_19_clean_t.csv,topology_ad_dysplasia_6_clean_t.csv,topology_ad_carcinoma_5_clean_t.csv,topology_ad_carcinoma_10_clean_t.csv,topology_ad_dysplasia_9_clean_t.csv,topology_ad_dysplasia_5_clean_t.csv,topology_carcinoma_1_clean_t.csv,topology_ad_carcinoma_2_clean_t.csv,topology_carcinoma_3_clean_t.csv,topology_dysplasia_17_clean_t.csv,topology_ad_carcinoma_9_clean_t.csv,topology_ad_carcinoma_12_clean_t.csv,topology_ad_carcinoma_1_clean_t.csv,topology_dysplasia_9_clean_t.csv,topology_dysplasia_8_clean_t.csv,topology_dysplasia_18_clean_t.csv,topology_dysplasia_13_clean_t.csv,topology_carcinoma_4_clean_t.csv,topology_dysplasia_3_clean_t.csv,topology_dysplasia_16_clean_t.csv,topology_dysplasia_11_clean_t.csv,topology_dysplasia_6_clean_t.csv,topology_carcinoma_17_clean_t.csv,topology_ad_carcinoma_6_clean_t.csv,topology_carcinoma_15_clean_t.csv
topology_carcinoma_11_clean_t.csv,4730.260424057307,15435.247683117117,5774.364481825349,6204.767948975865,10672.030240969085,1238.4225095475413,6498.731851795876,4152.98604579128,4198.480220464168,2254.3982020018643,14133.386719827093,4102.601804899336,4322.955334725134,4677.015546609297,6020.810418321416,3964.692459616594,3887.693928722668,8823.457023913597,8773.080914328812,6239.094865635375,inf,5668.8657930525305,4172.758319894721,3633.0374430828256,2070.2731331072678,4170.659897545501,8135.321485907861,4362.0633903323005,4187.5871365398925,2692.5015187047525,4292.38723089391,2474.7114411767047,0.0,9626.006561274055,5964.582497245438,10243.474493108959,11242.306010154301,3106.9660963030037,5003.598480154836,4707.33544605794,6430.630082448669,8941.018342687266,9777.53914367265,8494.004564716914,6781.859131719537,1852.4090165966018,4951.804712480447,5449.532871568857,5869.362246332537,5350.428086837408,5449.669345227409,4604.976633647001,12319.548237074794,4353.799426585415,6713.735912906096,3992.0871214270014,2984.813346523381,4607.509898557676,7646.445308134446,3760.7499110224,6759.941939411383,9653.08095439836,11431.995160356506,3044.8339007460954
topology_ad_dysplasia_7_clean_t.csv,11060.719770278725,10539.688149553847,7715.684700336485,5586.239759021882,4300.964179545715,8753.843095755608,6271.529040365826,7451.1847049518765,7156.656882250296,8355.64830793195,4974.410911680246,5699.949475940554,11141.037152872428,5517.843160923922,10176.271635651525,5873.334444897234,8733.960433716044,9402.636961392061,2923.945428328459,5781.1075035683825,inf,7334.89473507475,5721.765479106176,6383.161103132774,9360.143485842791,11874.768217640929,1939.6733486104736,9604.903280615947,13354.40530169705,10390.761271779087,12388.538314685078,11191.692860541525,9626.006561274055,0.0,8420.743608081593,3370.254532895421,9699.181427587884,10200.553013291878,5028.086935399574,7008.573603568247,7542.5536380412905,1886.7553863859173,3269.5870513859945,9083.300779392222,6894.418494470143,10317.315515166658,7335.776848837635,10276.986736350595,4300.832170501321,4360.0374889931445,6223.811953802762,5172.885723725255,11629.88038287255,5416.289140158778,8002.71425610204,5850.167915432103,11478.866825523713,7311.135502462188,8326.588114106287,9236.83671652058,3966.2133402265026,3901.7928534532443,4407.567543238701,9102.036508955054
topology_ad_dysplasia_3_clean_t.csv,4229.477701120828,17185.730695542778,902.5677701480902,3202.874849625541,7293.742665388123,5656.060941776794,3304.123501672734,2054.144983149301,9279.826971578343,3996.9159130891244,13007.652685996749,4789.106668362403,10088.034729167335,3828.0966991215746,2534.996955189432,5816.59358797239,2373.9808157445746,3017.1303843871015,6524.527458746519,9215.306412143735,inf,1290.6426328871764,5831.828483720162,7255.7981132961995,4857.8247238556805,5131.514973971141,7047.403500153166,2601.415024604461,9630.166124386013,4692.379987835046,5719.974823887912,7962.102871374407,5964.582497245438,8420.743608081593,0.0,10622.24136578287,14483.633850661337,4090.7376575786975,7081.6370539680165,1798.0448567297067,1209.8134114331137,7734.654883776537,9871.694494024412,2680.9372031013836,3434.463686936736,7105.666916986116,1601.9764719582265,2114.854545991498,4248.75182284313,4619.164893466735,2572.236581097585,3986.494034536661,17246.778001777082,4823.898905377057,1130.2736024276135,4032.1882390656633,8319.640734174369,8752.239096906304,1832.1972242679242,2654.0831404641754,8136.8746668294125,9685.186163837423,8022.85260833367,8351.058584147475
topology_ad_carcinoma_8_clean_t.csv,12870.823370075108,7428.845270779028,10146.595916952903,8196.732046614945,6950.123366164885,9307.807136144786,8581.123623707124,9267.06087201787,6984.438473329364,9178.47877110133,5086.075683569658,6982.541396649979,10773.06795431124,7376.73876397727,12546.086892798301,6612.864675051069,10404.19645063532,11737.683458514286,5243.967627236944,4947.272989365752,inf,9558.227059754496,6122.140128824966,6800.4836245609695,10538.81071873965,13324.191004496812,4311.193998979898,11552.029080146485,13637.979184532944,11554.433842860326,13832.328444560242,11739.75819660713,10243.474493108959,3370.254532895421,10622.24136578287,0.0,6692.435131133056,11573.233493466341,5322.757505411666,9094.182007616304,10065.146165599586,4045.376516451826,1226.5614958958681,11549.624327878853,9205.90169645218,10819.212649907608,9686.70903396577,12460.568708252511,6524.126550271945,6087.340934875481,8808.596032486603,6823.639850258167,9121.133281784923,6352.7561567664625,10511.807238454116,7218.102845104904,11871.581571417362,6744.348260393444,10985.288425070788,10947.24168821308,4515.939102058189,1713.1389872019008,7076.042005087853,9123.102971408027
topology_carcinoma_16_clean_t.csv,15417.46271421946,4909.017027446393,14036.551504397725,12703.033679309927,13508.003443863085,10764.854623645502,13440.776446113094,12686.376128435119,7283.364873899299,11012.929175272253,10444.549208987424,9806.484671889935,9698.012604156884,11134.728537451832,16115.637180768068,9356.430177504553,13251.233862372865,16632.234015275008,10801.300672901163,5690.051116565344,inf,13754.024345354608,8751.216347522435,8306.976944648903,12545.220982689603,15265.491914068143,9394.336626869346,14587.606214783544,13170.738961123632,13497.830961308395,15447.812015342924,12156.183795028768,11242.306010154301,9699.181427587884,14483.633850661337,6692.435131133056,0.0,13723.596170069055,7581.3022080226765,12821.585518322596,14378.11742650588,9751.088990867996,6660.2936784983285,16348.114193199037,14136.768730664697,11283.10450193417,13541.012800187675,15567.550876400806,10940.572085608126,10235.846258612932,13228.624746857004,10994.9140815808,5743.1666089967075,9849.108015382064,14816.121816458972,10677.527633489808,12156.016168287499,6945.096666201216,15672.69000321813,13549.686292294517,7554.677015866603,6266.559639466335,13651.697412009888,9091.486288947006
topology_carcinoma_8_clean_t.csv,1941.7074406216389,17377.024674906388,4180.0060704068865,5720.569845760275,10340.11204231464,3119.787746591863,5950.637465960476,2885.0230248691028,6833.1468150920355,2756.937704602023,14864.728049249377,4700.669087138213,6723.175673250751,4742.528851047945,3265.424816810364,5108.025391573463,1928.1538500459496,6818.2638516449615,8894.729492076933,8414.613254181562,inf,3885.3039918503814,5591.454162214013,5494.861566597774,1853.7626840310306,1890.2507353164142,8779.952788417148,2095.8379039087104,6090.928527988115,1262.6985484964737,2479.3505043582054,4370.635688174696,3106.9660963030037,10200.553013291878,4090.7376575786975,11573.233493466341,13723.596170069055,0.0,6552.411836340443,3805.49638864655,4534.655957174201,9545.764853579194,10984.45072999356,6564.931296874919,6137.615164350528,4060.1951925211756,3908.757779239422,2791.839268267482,6008.085397235138,5951.374930080888,4962.631527270814,5211.279819944474,15308.627336290996,5287.267642835014,4881.389559720507,4494.722765610315,4622.220864877097,6927.342897520455,5785.669914817851,1864.999272718884,7814.918289285832,10784.97424071208,11077.923621489437,5547.714584358036
topology_dysplasia_10_clean_t.csv,8110.165731830689,10897.772791774516,6591.729721290719,5587.476326718934,7166.282218678367,4080.5880059190513,6360.894725216508,5259.797567950511,2918.761436920474,3973.2527721177503,9296.775037809957,2530.2497296697666,6378.569723532513,3680.0787427223295,8704.885250730775,2043.1380013848232,5844.0565392131675,9537.612884238562,4563.208126777484,2598.4673570391124,inf,6493.120437729499,1474.9003109328678,1614.9149019537276,5392.352295904687,8275.170560093744,3780.715167222957,7190.685246798917,8491.80269383223,6406.5523603707215,8689.98368983512,6499.386216153418,5003.598480154836,5028.086935399574,7081.6370539680165,5322.757505411666,7581.3022080226765,6552.411836340443,0.0,5438.4647199834,7221.465970445469,4431.46506229151,4879.6925043555075,9217.37089546147,7054.291704625958,5575.787875091377,6118.631282255866,8155.295990520657,3755.882836589889,3153.8595372161576,5930.54133906152,3911.4598596570236,10579.058289903458,2656.107782975171,7605.697868370714,3377.4774929164955,6643.385765797847,3261.8911633558932,8477.042826427964,6174.119277834958,2434.6898232780577,4785.300961759178,7807.685120702635,4224.3474631157305
topology_dysplasia_19_clean_t.csv,4187.646786530739,15602.145699775227,1517.6746743743265,2119.001807373968,6667.678105283305,4434.46996086478,2287.8994544914804,1186.9064833271582,7758.342621742107,3149.244201010173,11672.274178944246,3235.096901493859,8619.187523834767,2294.708414682649,3577.832813444721,4293.672292110075,2085.301282997819,4434.710870066702,5377.471552909905,7589.051224295661,inf,1378.006025102292,4227.217116359512,5797.0882212770075,3651.9056636421246,5185.08748389208,5637.8839939590935,2707.780385464869,8575.168129145239,4302.185082068969,5690.672851979477,6487.114553389183,4707.33544605794,7008.573603568247,1798.0448567297067,9094.182007616304,12821.585518322596,3805.49638864655,5438.4647199834,0.0,2098.399677902591,6347.341417694311,8368.789703763547,4108.730339810271,2578.503956744332,5915.8364763072495,995.072578679944,3382.244319658123,2806.7242538790283,3060.168708752834,1577.102430254647,2545.971088414234,15681.694654686411,3266.012213017768,2395.7054999621764,2448.634845799275,7320.958893670629,7211.201548196761,3272.127263130601,2465.939261921455,6546.919965812999,8184.88892380329,7390.065487191478,6858.753496191037
topology_ad_dysplasia_6_clean_t.csv,4671.968285585797,16725.901467838466,856.8935810171288,2306.6077714580424,6362.598790783614,6097.4709163131265,2191.6714713169767,2411.0050936351,9734.773210666202,4417.596497730803,11976.436250442255,4936.018283537848,10561.21818307163,4215.419611470625,2896.1607798159494,6142.9102281401,2805.781263384033,2457.6788221437923,5445.269625579767,9227.059113233052,inf,1110.129564256354,6045.088474218262,7719.172389639408,5328.954374372473,5615.501628743867,6227.668211061185,3000.4485387713894,10099.610113152077,5103.072796714727,6264.020156721722,8431.325109322199,6430.630082448669,7542.5536380412905,1209.8134114331137,10065.146165599586,14378.11742650588,4534.655957174201,7221.465970445469,2098.399677902591,0.0,6795.093749487094,9232.914574020233,2158.9212447082023,2313.087191044629,7564.4850497519665,1775.7171326653822,2969.602566550815,3827.0872394943003,4421.708661293525,2206.2317411700587,3741.6816989686245,17637.815133033593,4946.503936347403,716.9452594145525,4280.37070582779,8778.123705458811,9163.529341326584,1421.4897485914234,3031.369828629097,8404.476259606292,9074.059781735328,7068.507176937382,8822.428333172586
topology_ad_carcinoma_5_clean_t.csv,10416.805294130403,10778.438695513674,7030.631634154517,4658.044181650494,4180.081213752138,8071.760878375666,4867.621434589013,6804.599339160631,6571.839049390641,7660.018864032171,5399.39778594877,4985.369676662068,10535.710982511839,4861.93380598272,9495.153415425335,5215.720066607999,8099.223209299226,7783.853971248227,1547.8068698473683,5239.74479922122,inf,6610.200802281151,5100.753357461515,5790.942824071582,8710.810763172673,11236.949052363267,1079.241894012004,8959.544808515453,12702.885789894468,9721.736748667145,11752.284511241049,10516.552302999362,8941.018342687266,1886.7553863859173,7734.654883776537,4045.376516451826,9751.088990867996,9545.764853579194,4431.46506229151,6347.341417694311,6795.093749487094,0.0,3343.458667132225,7765.154346786563,5249.3534157313925,9657.312271814826,6651.668961274524,9599.6573347296,3646.3693580908953,3641.7278844524053,5538.754528045574,4410.002617444533,12623.674944354832,4701.525107171726,7286.210681431628,5135.201013908641,10835.158344606316,6761.415072059745,7306.688219066667,8604.720173239584,4250.811094749849,3794.9585377361736,4476.016210811923,8478.018476012467
topology_ad_carcinoma_10_clean_t.csv,12198.28109946463,7927.000930791479,9355.057616844477,7252.409383331564,6969.6667085381905,8838.736418297864,7769.133733755835,8569.087280101277,6504.5967934942155,8683.38893650508,5288.740812622602,6337.374311029106,10275.320009186684,6649.425450577529,11770.026259140675,6104.70795378936,9742.760213059835,10936.049670019136,4512.5952513865195,4481.487673556164,inf,8782.941168307087,5655.964761520583,6355.129254070431,10006.874584480953,12746.215962254231,3380.30331316863,10852.244660590077,13163.147382020383,11012.891026878546,13259.290619981826,11271.202991374797,9777.53914367265,3269.5870513859945,9871.694494024412,1226.5614958958681,6660.2936784983285,10984.45072999356,4879.6925043555075,8368.789703763547,9232.914574020233,3343.458667132225,0.0,10663.286151884398,8409.99335063252,10349.599129985976,8900.439048257304,11730.515516153693,5724.120073820953,5366.438623395,7944.174563693091,6065.07149210745,9628.505817076164,5780.319932185612,9695.063785192431,6539.139443022021,11403.039250913429,6249.282741574964,10045.337309433344,10291.952246331713,4222.063652949846,1356.6313788965397,7164.219338034857,8640.18239517502
